shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence;shape_dist_traveled
49;-23.56524;-46.72465;4;2225
49;-23.56666;-46.72727;5;2535
49;-23.55958;-46.73435;6;3935
49;-23.55941;-46.73757;7;4265
49;-23.55974;-46.73484;8;4800
49;-23.56084;-46.73074;9;5275
49;-23.56614;-46.73032;10;5990
49;-23.56827;-46.7321;11;6425
49;-23.568;-46.7405;12;7625
49;-23.56669;-46.73802;13;9225
49;-23.56668;-46.73842;14;9480
49;-23.568;-46.7405;15;10475
50;-23.568;-46.7405;1;0
50;-23.56852;-46.73181;2;1100
50;-23.56709;-46.7275;3;1605
50;-23.56589;-46.72534;4;1865
50;-23.56524;-46.72465;5;2225
50;-23.56666;-46.72727;6;2535
50;-23.56084;-46.73074;7;3935
50;-23.56614;-46.73032;8;4650
50;-23.56827;-46.7321;9;5085
50;-23.568;-46.7405;10;6285
50;-23.56669;-46.73802;11;7885
50;-23.56668;-46.73842;12;8140
50;-23.568;-46.7405;13;9135
51;-23.568;-46.7405;1;0
51;-23.56852;-46.73181;2;1100
51;-23.56709;-46.7275;3;1605
51;-23.56524;-46.72465;4;2225
51;-23.56666;-46.72727;5;2535
51;-23.55958;-46.73435;6;3935
51;-23.55941;-46.73757;7;4265
51;-23.55974;-46.73484;8;4800
51;-23.56084;-46.73074;9;5275
51;-23.56614;-46.73032;10;5990
51;-23.56827;-46.7321;11;6425
51;-23.568;-46.7405;12;7625
51;-23.56669;-46.73802;13;9225
51;-23.56668;-46.73842;14;9480
51;-23.568;-46.7405;15;10475
52;-23.568;-46.7405;1;0
52;-23.56852;-46.73181;2;1100
52;-23.56709;-46.7275;3;1605
52;-23.56589;-46.72534;4;1865
52;-23.56524;-46.72465;5;2225
52;-23.56666;-46.72727;6;2535
52;-23.56084;-46.73074;7;3935
52;-23.56614;-46.73032;8;4650
52;-23.56827;-46.7321;9;5085
52;-23.568;-46.7405;10;6285
52;-23.56669;-46.73802;11;7885
52;-23.56668;-46.73842;12;8140
52;-23.568;-46.7405;13;9135
53;-23.568;-46.7405;1;0
53;-23.56852;-46.73181;2;1100
53;-23.56709;-46.7275;3;1605
53;-23.56589;-46.72534;4;1865
53;-23.56524;-46.72465;5;2225
53;-23.56666;-46.72727;6;2535
